SA4_CODE21,SA4_NAME21,year,net_migration,population,net_per_1000
208,Melbourne - Inner South,2022,-4034,428804,-9.40756149662783
208,Melbourne - Inner South,2023,-1373,440319,-3.118193854909736
208,Melbourne - Inner South,2024,-1546,449558,-3.438933352314941
209,Melbourne - North East,2022,-1977,553249,-3.573436192383538
209,Melbourne - North East,2023,466,568832,0.8192225472547254
209,Melbourne - North East,2024,2382,585062,4.0713633768728785
210,Melbourne - North West,2022,-257,436673,-0.5885410822285784
210,Melbourne - North West,2023,1071,450787,2.3758449112330213
210,Melbourne - North West,2024,933,463821,2.0115518702257984
211,Melbourne - Outer East,2022,-6515,521547,-12.491683395743816
211,Melbourne - Outer East,2023,-2804,527888,-5.311732791804322
211,Melbourne - Outer East,2024,-1987,534103,-3.7202562052637784
212,Melbourne - South East,2022,-3023,885164,-3.415186338350859
212,Melbourne - South East,2023,-2396,915821,-2.61623177454983
212,Melbourne - South East,2024,-2605,942073,-2.76517849466018
213,Melbourne - West,2022,4113,886794,4.638055737860202
213,Melbourne - West,2023,5182,922709,5.61607180595399
213,Melbourne - West,2024,4765,955653,4.986119438750257
214,Mornington Peninsula,2022,-2196,310894,-7.063500743018521
214,Mornington Peninsula,2023,-1043,313053,-3.331704216218979
214,Mornington Peninsula,2024,103,316065,0.3258823343299638
215,North West,2022,-1029,154937,-6.64140908885547
215,North West,2023,-1390,154790,-8.979908262807674
215,North West,2024,-1374,154493,-8.893606830082916
216,Shepparton,2022,-141,138077,-1.021169347537968
216,Shepparton,2023,-991,138176,-7.172012505789717
216,Shepparton,2024,-471,138837,-3.39246742583029
217,Warrnambool and South West,2022,-390,127716,-3.0536502865733346
217,Warrnambool and South West,2023,-286,128235,-2.2302803446796897
217,Warrnambool and South West,2024,-439,128557,-3.4148276639934037
301,Brisbane - East,2022,657,246007,2.670655713048816
301,Brisbane - East,2023,1116,250195,4.460520793780851
301,Brisbane - East,2024,1787,255048,7.006524262099683
302,Brisbane - North,2022,387,230819,1.6766384049839917
302,Brisbane - North,2023,330,235620,1.4005602240896358
302,Brisbane - North,2024,600,240654,2.493206013612905
303,Brisbane - South,2022,-241,383579,-0.6282929983132549
303,Brisbane - South,2023,-1526,395754,-3.8559307044274975
303,Brisbane - South,2024,-2400,405821,-5.9139374256137565
304,Brisbane - West,2022,-542,193394,-2.802568849085287
304,Brisbane - West,2023,-293,198645,-1.4749930781041558
304,Brisbane - West,2024,-505,202564,-2.4930392369818923
305,Brisbane Inner City,2022,2606,305719,8.524167617975984
305,Brisbane Inner City,2023,-52,319850,-0.16257620759731126
305,Brisbane Inner City,2024,-1886,329810,-5.718443952578757
306,Cairns,2022,1163,260664,4.461682472454961
306,Cairns,2023,752,265364,2.8338433246408705
306,Cairns,2024,275,269399,1.0207907230539088
307,Darling Downs - Maranoa,2022,191,130992,1.4581043117136925
307,Darling Downs - Maranoa,2023,610,132474,4.604677144194333
307,Darling Downs - Maranoa,2024,344,133617,2.574522702949475
308,Central Queensland,2022,965,234166,4.12100817368875
308,Central Queensland,2023,1467,238205,6.158560903423522
308,Central Queensland,2024,1218,241735,5.038575299398101
309,Gold Coast,2022,5611,663317,8.45900225683949
309,Gold Coast,2023,2218,682509,3.2497739956542695
309,Gold Coast,2024,1145,698017,1.6403611946413912
310,Ipswich,2022,6370,384933,16.548334385464486
310,Ipswich,2023,4173,397273,10.504111782074292
310,Ipswich,2024,4561,408779,11.15761817510195
311,Logan - Beaudesert,2022,7728,378294,20.428555567891642
311,Logan - Beaudesert,2023,6340,393394,16.116158355236735
311,Logan - Beaudesert,2024,7564,408453,18.518654533079694
312,Mackay - Isaac - Whitsunday,2022,1155,186203,6.202907579362309
